KUNDEN_NR,ANREDE,VORNAME,NACHNAME,GEBURTSDATUM,GESCHLECHT,STAATSANGEHOERIGKEIT,FAMILIENSTAND,KUNDEN_SEIT,KONTONUMMER,KONTOART,EROEFFNUNGSDATUM,KONTOSTAND,VERFUEGBARER_BETRAG,WAEHRUNG,SOLL_ZINSSATZ,KREDITLIMIT,IBAN,BIC,BANKLEITZAHL,FILIAL_CODE,BERATER_ID,KUNDEN_STATUS,RISIKOSTUFE,BEVORZUGTE_SPRACHE,KONTAKTKANAL,EINWILLIGUNG_DATUM,DATENSCHUTZ_AKZEPTIERT
KD011,Herr,Helmut,Zimmermann,27.11.1982,M,DE,LEDIG,05.12.2010,DEKD01152168966,GEMEINSCHAFTSKONTO,30.09.2004,20200.02,19751.35,EUR,7.687,23256.65,DE21456232858842474517,DEUTDEDB,28892086,F872,B4696,GESPERRT,HOCH,DE,EMAIL,05.06.2022,J
KD012,Frau,Maria,Koch,30.04.1961,F,DE,GESCHIEDEN,14.05.2021,DEKD01233842070,SPARKONTO,08.09.2021,79107.91,78592.84,EUR,11.667,6950.96,DE04228421020539502402,PBNKDEFF,66500369,F638,B2862,AKTIV,SEHR_HOCH,DE,SMS,22.01.2022,J
KD013,Herr,Wolfgang,Bauer,23.10.1986,M,DE,LEBENSPARTNERSCHAFT,08.10.2008,DEKD01363450811,SPARKONTO,23.09.2018,60072.68,62117.92,EUR,6.479,21910.76,DE15851493689980940244,BELADEBE,57113566,F106,B3972,INAKTIV,SEHR_HOCH,DE,EMAIL,05.08.2019,J
KD014,Frau,Petra,Wolf,19.12.1980,F,DE,GESCHIEDEN,22.12.2005,DEKD01452833932,GEMEINSCHAFTSKONTO,10.12.2022,56818.02,45957.08,EUR,1.813,4340.03,DE69681645352181883552,COBADEFF,23798190,F249,B5193,INAKTIV,MITTEL,DE,APP,19.09.2019,J
KD015,Frau,Birgit,Richter,18.02.1983,F,DE,LEBENSPARTNERSCHAFT,20.03.2019,DEKD01549117508,GEMEINSCHAFTSKONTO,16.05.2010,32819.80,25244.45,EUR,3.625,18338.69,DE92519254629148652816,SSKMDEMMXXX,58563745,F118,B6940,PREMIUM,MITTEL,DE,POST,31.10.2021,N
KD016,Frau,Maria,Schäfer,12.06.1988,F,DE,LEDIG,27.10.2022,DEKD01694946730,GESCHAEFTSKONTO,30.09.2021,33308.77,26587.96,EUR,2.311,11844.88,DE04727790104328986143,BELADEBE,26354208,F148,B4906,GESPERRT,SEHR_HOCH,DE,EMAIL,31.03.2019,N
KD017,Herr,Wolfgang,Klein,08.07.1977,M,DE,LEBENSPARTNERSCHAFT,24.12.2009,DEKD01775901885,GIROKONTO,22.04.2020,71181.02,69163.31,EUR,5.764,26944.49,DE69284511544796275705,SSKMDEMMXXX,68376726,F381,B1939,AKTIV,SEHR_HOCH,DE,TELEFON,03.10.2023,J
KD018,Frau,Sabine,Schröder,10.10.1983,F,DE,VERHEIRATET,22.09.2017,DEKD01887293208,GIROKONTO,22.06.2005,16238.23,10870.50,EUR,4.335,23920.82,DE78669125177852892268,DRESDEFF,17437386,F951,B3034,INAKTIV,HOCH,DE,POST,26.10.2019,N
KD019,Herr,Peter,Braun,08.04.1966,M,DE,VERHEIRATET,05.03.2015,DEKD01942537638,GEMEINSCHAFTSKONTO,09.03.2015,69160.28,55955.33,EUR,11.401,28917.89,DE70168733950047974801,SSKMDEMM,27976443,F370,B6992,GESPERRT,HOCH,DE,EMAIL,29.06.2022,J
KD020,Frau,Sandra,Neumann,21.10.1974,F,DE,LEDIG,11.04.2008,DEKD02053739710,GIROKONTO,21.11.2013,13806.86,12626.55,EUR,4.390,18972.34,DE26368970283857865278,BELADEBE,83319550,F462,B5331,GESPERRT,MITTEL,DE,POST,16.02.2021,N
KD021,Herr,Klaus,Lange,06.04.1974,M,DE,GESCHIEDEN,02.11.2004,DEKD02160473288,GIROKONTO,10.09.2010,74946.22,79189.29,EUR,7.543,6076.88,DE15478872874315274205,DRESDEFF,49597485,F681,B4164,INAKTIV,SEHR_HOCH,DE,SMS,12.10.2023,N
KD022,Herr,Frank,Schwarz,21.08.1969,M,DE,VERHEIRATET,06.07.2015,DEKD02247621248,GEMEINSCHAFTSKONTO,31.03.2014,35458.88,33336.58,EUR,7.492,21790.62,DE87406403910651801704,SSKMDEMM,34156684,F887,B3218,GESPERRT,HOCH,DE,SMS,12.01.2023,N
KD023,Herr,Jürgen,Brunner,26.06.1986,M,DE,VERWITWET,16.08.2021,DEKD02362738860,GESCHAEFTSKONTO,14.08.2019,75891.92,78916.74,EUR,5.662,27435.75,DE24628733427086688263,BELADEBE,37291394,F438,B2295,GESPERRT,HOCH,DE,EMAIL,03.01.2024,J
KD024,Herr,Wolfgang,Schmitt,07.09.1976,M,DE,VERHEIRATET,28.02.2016,DEKD02458991556,GIROKONTO,02.10.2015,57939.92,56189.96,EUR,0.919,14364.04,DE10062312038750997700,SSKMDEMMXXX,84040345,F521,B1194,AKTIV,HOCH,DE,APP,20.03.2021,J
KD025,Frau,Julia,Krämer,19.12.1985,F,DE,LEDIG,26.03.2015,DEKD02525285764,GESCHAEFTSKONTO,15.03.2005,45203.86,39930.74,EUR,1.711,25633.83,DE31599965047735866296,DEUTDEDB,93029219,F402,B5037,AKTIV,NIEDRIG,DE,TELEFON,24.09.2019,N
